x,orb_pct,game_result,ft_rate,ts_pct,drb_pct,trb_pct,tov_pct,pace,date_game,stl_pct,game_season,pts,fg3a_per_fga_pct,game_location,off_rtg,efg_pct,def_rtg,blk_pct,team_id,ast_pct,fta_per_fga_pct
,18.9,W,.286,.611,69.6,49.5,12.8,95.4,2023-10-25,6.3,1,108,.506,@,113.2,.558,109.0,19.6,BOS,48.6,.338
,32.0,W,.137,.576,78.0,55.0,12.7,99.3,2023-10-27,7.0,2,119,.411,,119.8,.558,111.7,10.7,BOS,44.4,.200
,34.1,W,.049,.600,76.6,56.0,14.6,102.3,2023-10-30,10.8,3,126,.520,@,123.2,.593,104.6,11.8,BOS,60.8,.069
,32.4,W,.284,.722,85.2,64.8,10.8,105.5,2023-11-01,4.7,4,155,.368,,146.9,.674,98.5,3.1,BOS,50.0,.295
,23.8,W,.256,.609,80.0,54.3,9.7,100.2,2023-11-04,4.0,5,124,.500,@,123.7,.561,113.8,12.5,BOS,51.2,.300
,22.0,L,.283,.510,85.0,50.0,14.4,100.9,2023-11-06,11.7,6,109,.424,@,97.8,.451,102.3,4.2,BOS,55.6,.370
,17.0,L,.176,.518,73.9,43.4,11.6,100.9,2023-11-08,7.9,7,103,.516,@,102.1,.478,105.0,9.8,BOS,77.8,.209
,31.5,W,.213,.569,79.5,53.1,7.0,94.6,2023-11-10,5.3,8,121,.553,,127.9,.537,113.1,6.3,BOS,70.7,.298
,14.3,W,.093,.638,85.4,55.4,12.4,98.0,2023-11-11,1.0,9,117,.512,,119.4,.634,96.0,7.4,BOS,63.8,.151
,24.2,W,.190,.662,70.7,50.0,11.3,86.2,2023-11-13,3.5,10,114,.544,,132.2,.627,113.6,6.8,BOS,67.5,.203
,27.9,W,.170,.607,76.7,52.3,9.4,91.6,2023-11-15,7.6,11,117,.568,@,127.7,.580,116.8,14.5,BOS,54.8,.216
,18.2,W,.087,.563,87.8,51.8,10.3,98.3,2023-11-17,5.1,12,108,.500,@,109.9,.543,106.8,7.4,BOS,69.0,.098
,24.3,W,.260,.580,72.0,51.7,16.2,92.8,2023-11-19,6.5,13,102,.403,@,109.9,.532,107.7,19.6,BOS,57.1,.325
,21.6,L,.186,.540,68.5,45.7,12.1,97.3,2023-11-20,5.6,14,118,.515,@,109.9,.515,112.7,12.3,BOS,45.2,.289
,10.5,W,.167,.650,75.0,47.8,14.1,101.6,2023-11-22,3.0,15,119,.500,,117.2,.625,114.2,7.5,BOS,61.4,.202
,10.3,L,.355,.520,67.5,39.2,14.0,99.0,2023-11-24,10.1,16,96,.382,@,96.9,.454,114.1,7.0,BOS,54.8,.487
,36.0,W,.168,.544,78.4,57.4,11.1,97.6,2023-11-26,9.2,17,113,.495,,115.8,.511,105.5,8.6,BOS,57.1,.211
,28.2,W,.100,.651,82.0,58.4,14.4,96.6,2023-11-28,6.2,18,124,.544,,128.4,.639,100.4,14.5,BOS,76.6,.133
,27.0,W,.403,.673,70.6,52.3,17.7,101.8,2023-12-01,9.8,19,125,.429,,122.8,.610,116.9,13.6,BOS,64.1,.468
,27.7,L,.082,.548,86.0,57.7,15.0,102.7,2023-12-04,4.9,20,112,.423,@,109.0,.536,118.8,16.7,BOS,58.7,.124
,20.0,W,.198,.663,68.4,43.6,7.4,98.1,2023-12-08,8.2,21,133,.516,,135.6,.632,125.4,9.8,BOS,50.0,.231
,29.3,W,.310,.629,84.6,56.3,13.6,97.8,2023-12-12,9.2,22,120,.524,,122.6,.560,115.5,19.1,BOS,60.5,.310
,30.2,W,.200,.618,77.5,53.0,12.2,93.9,2023-12-14,7.5,23,116,.424,,123.5,.582,113.9,16.0,BOS,51.2,.235
,22.0,W,.152,.635,65.8,43.0,9.8,99.7,2023-12-15,14.0,24,128,.457,,128.4,.620,111.3,13.5,BOS,64.6,.217
,23.3,W,.074,.579,81.8,56.1,12.4,98.3,2023-12-17,4.1,25,114,.379,,115.9,.563,98.6,18.9,BOS,40.0,.084
,30.5,L,.132,.519,67.3,48.2,6.2,95.5,2023-12-19,5.7,26,126,.509,@,119.5,.487,125.2,8.5,BOS,59.6,.149
,35.9,W,.217,.702,75.0,57.5,8.1,94.6,2023-12-20,6.3,27,144,.457,@,152.2,.674,125.8,21.3,BOS,68.6,.261
,37.5,W,.234,.682,80.0,60.0,8.6,96.4,2023-12-23,4.1,28,145,.564,@,150.4,.654,112.0,9.1,BOS,67.3,.298
,26.8,W,.231,.610,71.7,50.6,7.2,96.7,2023-12-25,8.3,29,126,.462,@,130.3,.577,118.9,12.1,BOS,67.4,.308
,22.4,W,.212,.582,62.7,43.0,9.8,97.5,2023-12-28,9.3,30,128,.394,,118.9,.540,113.4,6.9,BOS,52.1,.253
,31.0,W,.193,.620,81.3,57.8,14.2,97.4,2023-12-29,3.1,31,120,.443,,123.2,.585,121.1,11.8,BOS,67.4,.227
,30.2,W,.179,.640,83.0,59.4,9.5,102.8,2023-12-31,5.8,32,134,.442,@,130.4,.616,98.3,14.3,BOS,56.9,.232
,37.8,L,.261,.587,75.0,55.3,11.8,97.8,2024-01-02,7.2,33,123,.435,@,125.7,.538,129.8,19.6,BOS,78.6,.315
,18.0,W,.344,.595,74.6,49.6,11.7,108.9,2024-01-05,8.3,34,126,.544,,115.7,.528,89.0,13.3,BOS,61.5,.400
,31.7,W,.111,.600,81.1,59.6,15.5,99.8,2024-01-06,6.0,35,118,.456,@,118.3,.600,101.2,12.0,BOS,56.5,.211
,30.2,L,.222,.637,76.3,51.9,12.7,102.3,2024-01-08,2.9,36,131,.389,@,128.1,.617,130.0,15.7,BOS,55.3,.322
,15.2,W,.333,.613,83.0,49.5,7.2,92.7,2024-01-10,4.9,37,127,.522,,124.0,.539,117.2,6.6,BOS,53.8,.344
,12.5,L,.275,.489,67.6,36.5,5.4,98.4,2024-01-11,5.1,38,102,.385,@,103.6,.423,137.1,10.0,BOS,64.7,.330
,22.2,W,.200,.684,72.7,50.0,10.2,106.7,2024-01-13,6.6,39,145,.495,,135.9,.663,105.9,11.6,BOS,51.0,.263
,10.4,W,.280,.565,84.2,50.5,12.3,100.2,2024-01-15,3.0,40,105,.476,@,104.8,.500,95.9,11.1,BOS,60.6,.305
,28.6,W,.167,.595,79.2,56.8,12.5,97.2,2024-01-17,5.1,41,117,.422,,120.4,.567,100.9,10.2,BOS,52.4,.211
,24.5,L,.112,.525,72.2,44.7,3.1,84.9,2024-01-19,5.9,42,100,.494,,117.8,.506,120.1,4.0,BOS,55.3,.157
,29.6,W,.133,.548,78.0,52.9,13.1,104.5,2024-01-21,9.6,43,116,.480,@,111.0,.526,102.3,20.3,BOS,72.1,.184
,11.6,W,.250,.588,79.6,47.8,5.6,100.5,2024-01-22,7.0,44,119,.523,@,118.4,.551,109.5,14.0,BOS,63.4,.341
,23.1,W,.238,.805,78.8,60.3,11.0,92.1,2024-01-25,4.3,45,143,.500,@,155.2,.775,119.4,9.6,BOS,70.6,.250
,29.5,L,.140,.448,69.4,47.3,9.3,97.9,2024-01-27,2.0,46,96,.400,,98.1,.410,117.5,14.5,BOS,58.3,.160
,16.2,W,.176,.629,79.1,50.0,10.5,97.4,2024-01-29,7.2,47,118,.541,,121.1,.606,115.0,8.9,BOS,62.8,.235
,18.4,W,.207,.667,63.5,44.4,11.0,99.6,2024-01-30,6.0,48,129,.414,,129.5,.638,124.5,13.0,BOS,53.2,.253
,27.5,L,.072,.525,72.7,50.9,13.0,96.7,2024-02-01,4.1,49,105,.495,,108.6,.505,117.9,20.7,BOS,73.2,.072
,36.2,W,.162,.613,71.4,55.3,9.3,98.4,2024-02-04,12.2,50,131,.515,,133.1,.581,92.5,7.4,BOS,62.5,.182
,14.3,W,.108,.639,75.0,47.9,12.5,103.9,2024-02-07,5.8,51,125,.527,,120.3,.618,112.6,14.8,BOS,67.3,.118
,20.9,W,.283,.637,88.9,55.7,11.1,107.9,2024-02-09,8.3,52,133,.370,,123.3,.582,119.6,10.4,BOS,52.1,.304
,16.2,W,.148,.622,72.0,48.3,11.1,92.4,2024-02-11,1.1,53,110,.481,@,119.1,.605,114.7,15.8,BOS,65.9,.210
,18.9,W,.205,.634,82.1,51.3,13.1,95.9,2024-02-13,6.3,54,118,.446,@,123.0,.608,114.7,2.2,BOS,72.1,.277
,28.6,W,.110,.706,87.2,62.2,9.4,93.0,2024-02-14,6.4,55,136,.495,,146.2,.692,92.4,10.0,BOS,61.5,.132
,13.5,W,.193,.699,70.5,44.4,13.2,98.7,2024-02-22,10.1,56,129,.566,@,130.6,.681,113.4,16.7,BOS,60.0,.253
,31.4,W,.111,.672,62.5,48.0,7.5,82.7,2024-02-24,9.7,57,116,.432,@,140.3,.660,123.4,9.1,BOS,58.7,.148
,31.0,W,.459,.648,85.5,66.7,13.4,95.6,2024-02-27,7.3,58,117,.297,,122.4,.561,103.6,17.3,BOS,53.8,.500
,22.0,W,.138,.692,79.2,52.8,8.3,98.2,2024-03-01,4.1,59,138,.457,,140.5,.665,112.0,13.3,BOS,63.5,.138
,17.1,W,.094,.694,78.6,52.6,7.4,101.0,2024-03-03,9.9,60,140,.510,,138.7,.682,87.2,9.8,BOS,66.0,.115
