pts_per_g,ws_per_48,year,mp_per_g,player,trb_per_g,g,vorp,ast,ws,pts,mp,college_name,ast_per_g,trb,fg3_pct,ft_pct,bpm,pick_overall,fg_pct,team_id,seasons
,,2020,,Yam Madar,,,-1.1,,,,,,,,,,,47,,BOS,
4.1,.029,2020,12.1,Nico Mannion,1.5,30,,70,0.2,123,364,Arizona,2.3,46,.367,.821,-3.9,48,.342,GSW,1
6.8,.105,2020,15.5,Isaiah Joe,1.8,251,-0.2,247,8.6,1703,3899,Arkansas,1.0,452,.397,.841,-0.5,49,.426,PHI,5
4.3,.092,2020,10.6,Skylar Mays,1.2,105,1.5,182,2.1,451,1111,LSU,1.7,122,.345,.859,-0.7,50,.445,ATL,4
,,2020,,Justinian Jessup,,,0.4,,,,,Boise State,,,,,,51,,GSW,
8.9,.093,2020,21.6,KJ Martin,4.2,270,,327,11.4,2397,5845,,1.2,1135,.338,.662,-1.5,52,.545,SAC,5
1.9,.051,2020,4.7,Cassius Winston,0.3,29,0.7,19,0.1,55,137,Michigan State,0.7,10,.435,.900,-4.9,53,.409,OKC,2
2.7,-.006,2020,7.5,Cassius Stanley,1.2,33,-0.1,5,0.0,88,248,Duke,0.2,39,.233,.895,-7.9,54,.360,IND,2
4.0,-.014,2020,9.8,Jay Scrubb,1.5,24,-0.4,10,-0.1,97,235,John A. Logan College,0.4,36,.313,.765,-6.6,55,.416,BRK,3
2.6,.177,2020,3.9,Grant Riller,0.1,7,-0.3,3,0.1,18,27,College of Charleston,0.4,1,.500,,5.1,56,.667,CHO,1
4.7,.048,2020,11.1,Reggie Perry,3.3,36,0.0,26,0.4,170,398,Mississippi State,0.7,120,.189,.679,-5.5,57,.459,LAC,2
5.1,.167,2020,13.1,Paul Reed,4.2,216,-0.3,165,9.8,1091,2831,DePaul,0.8,904,.312,.690,0.3,58,.555,PHI,5
7.4,.079,2020,13.2,Jalen Harris,1.4,13,1.7,17,0.3,96,172,Nevada,1.3,18,.472,.778,0.3,59,.500,TOR,1
6.1,.118,2020,14.1,Sam Merrill,1.6,107,0.1,147,3.7,651,1514,Utah State University,1.4,171,.394,.905,-0.2,60,.401,NOP,5
pts_per_g,ws_per_48,year,mp_per_g,player,trb_per_g,g,vorp,ast,ws,pts,mp,college_name,ast_per_g,trb,fg3_pct,ft_pct,bpm,pick_overall,fg_pct,team_id,seasons
20.2,.014,2021,33.2,Cade Cunningham,5.1,143,,929,1.4,2886,4745,Oklahoma State,6.5,724,.332,.858,-0.5,1,.433,DET,4
19.9,.039,2021,32.7,Jalen Green,4.1,229,1.7,759,6.1,4565,7479,,3.3,948,.339,.795,-1.6,2,.421,HOU,4
15.7,.142,2021,33.1,Evan Mobley,8.8,203,0.7,569,19.9,3192,6724,USC,2.8,1790,.272,.686,1.6,3,.545,CLE,4
16.7,.102,2021,35.0,Scottie Barnes,7.4,215,6.0,1014,16.0,3581,7523,Florida State,4.7,1594,.309,.763,1.5,4,.473,TOR,4
11.7,.051,2021,26.0,Jalen Suggs,3.2,181,6.6,589,5.0,2115,4713,Gonzaga,3.3,586,.338,.759,-1.2,5,.423,ORL,4
13.9,.070,2021,28.9,Josh Giddey,7.3,215,0.9,1229,9.1,2997,6218,,5.7,1576,.317,.745,0.7,6,.464,OKC,4
11.9,.107,2021,21.5,Jonathan Kuminga,3.9,216,4.3,360,10.3,2563,4643,,1.7,837,.336,.707,-1.2,7,.521,GSW,4
17.8,.104,2021,31.8,Franz Wagner,4.6,236,0.9,800,16.3,4192,7505,Michigan,3.4,1087,.333,.851,0.2,8,.479,ORL,4
7.5,.029,2021,20.5,Davion Mitchell,1.6,232,4.1,663,2.9,1733,4760,Baylor,2.9,375,.326,.701,-3.5,9,.433,SAC,4
7.7,.046,2021,19.6,Ziaire Williams,2.6,155,-1.8,184,2.9,1189,3044,Stanford,1.2,406,.309,.799,-3.8,10,.431,NOP,4
4.8,-.017,2021,11.4,James Bouknight,1.7,79,-1.4,73,-0.3,383,900,UConn,0.9,133,.335,.762,-5.9,11,.363,CHO,3
5.7,-.011,2021,19.1,Joshua Primo,2.3,56,-0.9,99,-0.3,318,1068,Alabama,1.8,127,.300,.750,-5.3,12,.371,SAS,3
8.1,.025,2021,19.5,Chris Duarte,2.8,162,-0.9,223,1.6,1318,3163,Oregon,1.4,447,.349,.816,-3.1,13,.406,IND,4
6.0,.095,2021,14.4,Moses Moody,2.1,186,-0.9,138,5.3,1118,2673,Arkansas,0.7,392,.369,.753,-1.5,14,.462,GSW,4
11.0,.065,2021,25.9,Corey Kispert,2.8,235,0.3,336,8.3,2577,6083,Gonzaga,1.4,652,.387,.791,-2.0,15,.481,WAS,4
14.9,.120,2021,27.2,Alperen Sengun,8.0,214,-0.1,802,14.6,3191,5820,,3.7,1710,.290,.705,2.0,16,.525,OKC,4
11.7,.143,2021,25.3,Trey Murphy III,3.6,198,5.9,274,14.9,2324,5002,Virginia,1.4,708,.392,.867,1.5,17,.454,MEM,3
9.3,.028,2021,21.2,Tre Mann,2.8,172,4.4,389,2.1,1606,3651,Florida,2.3,490,.348,.788,-3.3,18,.410,OKC,4
2.7,.068,2021,9.2,Kai Jones,2.1,71,-1.2,21,0.9,192,651,Texas,0.3,146,.238,.641,-3.9,19,.570,NYK,3
9.3,.088,2021,21.2,Jalen Johnson,5.6,153,-0.3,309,5.9,1427,3237,Duke,2.0,851,.322,.686,0.2,20,.500,ATL,4
5.7,-.037,2021,14.0,Keon Johnson,1.7,86,1.8,139,-0.9,493,1208,Tennessee,1.6,142,.333,.760,-5.8,21,.361,NYK,4
7.2,.150,2021,15.0,Isaiah Jackson,4.3,162,-1.1,115,7.6,1164,2422,Kentucky,0.7,689,.206,.675,-0.2,22,.593,LAL,4
2.6,.090,2021,11.7,Usman Garuba,3.8,105,1.1,82,2.3,276,1228,,0.8,397,.363,.625,-1.4,23,.467,HOU,3
6.9,.006,2021,15.4,Josh Christopher,1.9,138,0.2,223,0.3,959,2120,Arizona State,1.6,257,.277,.740,-3.8,24,.455,HOU,2
8.4,.090,2021,23.1,Quentin Grimes,2.5,172,-1.0,261,7.5,1448,3978,Houston,1.5,429,.371,.774,-0.8,25,.427,LAC,4
10.0,.063,2021,18.1,Bones Hyland,2.3,162,1.2,456,3.8,1613,2935,VCU,2.8,378,.361,.844,-1.1,26,.398,DEN,3
14.3,.052,2021,22.4,Cam Thomas,2.5,195,0.6,361,4.7,2793,4375,LSU,1.9,491,.345,.859,-2.1,27,.440,BRK,4
